label,pred
1,0.99992746
1,0.9310782
1,0.99943006
1,0.99992734
1,1.79E-06
1,6.33E-07
1,0.99999756
1,0.99776953
1,4.59E-05
1,0.99999994
1,3.05E-11
1,0.9997773
1,4.20E-23
1,2.92E-12
1,2.56E-15
1,0
1,1.66E-06
1,0.94356155
1,0.99977875
1,0.9999674
1,0.9999779
1,0.9999941
1,0.99998015
1,1.26E-05
1,3.28E-13
1,2.13E-12
1,1.08E-12
1,1.36E-10
1,5.49E-11
1,4.92E-09
1,9.23E-07
1,8.13E-08
1,0
1,2.96E-11
1,1.75E-13
1,1.21E-14
1,4.46E-10
1,0.8580207
1,1.34E-05
1,0.99999994
1,1.48E-11
1,5.13E-17
1,8.93E-13
